material_id,pretty_formula,elements,count,density,elasticity.poisson_ratio,elasticity.K_VRH,melting_point,thermal_conductivity,radius,electronegativity,specific_heat,spacegroup.crystal_system,C11,C22,C33,C12,C13,C23,C44,C55,C66
mp-1786,Ti3Au,"['Ti', 'Au']","[3, 1]",8.460278828,0.28,139,1790.0825,96.5,1.755,0.157865275,0.4245,cubic,256,256,256,81,81,81,61,61,61
mp-1791,Al5Rh2,"['Al', 'Rh']","[5, 2]",5.229411844,0.26,131,1305.907143,210.7142857,1.337142857,0.147437971,0.712571429,hexagonal,224,224,265,87,74,74,78,78,69
mp-1814,BaAg5,"['Ba', 'Ag']","[1, 5]",7.889923678,0.38,50,1195.775,361.3333333,1.796666667,0.14912685,0.2295,hexagonal,59,59,93,44,40,40,18,18,8
mp-18167,Ca3Cd2,"['Ca', 'Cd']","[3, 2]",3.620506934,0.28,29,906.688,158.8,1.808,0.12940978,0.4846,tetragonal,51,43,43,18,18,24,18,16,16
mp-182,SrGa2,"['Sr', 'Ga']","[1, 2]",4.754548009,0.26,56,551.94,31,1.636666667,0.154420933,0.348333333,hexagonal,103,103,96,37,31,31,29,29,33
mp-1823,Ti3Al,"['Ti', 'Al']","[3, 1]",4.248868625,0.27,115,1689.1175,75.25,1.615,0.130042275,0.61725,hexagonal,192,192,234,85,63,63,60,60,54
mp-1831,SrAu5,"['Sr', 'Au']","[1, 5]",13.41846705,0.38,90,1289.441667,272.5,1.815,0.2375597,0.157666667,hexagonal,115,115,155,66,76,76,21,21,24
mp-1842,NbAl3,"['Nb', 'Al']","[1, 3]",4.501843514,0.18,127,1387.6025,189.75,1.38,0.14457805,0.742,tetragonal,248,248,271,94,47,47,103,103,134
mp-18427,Nb2Al,"['Nb', 'Al']","[2, 1]",6.789453836,0.28,161,2144.49,114.3333333,1.713333333,0.135411467,0.478666667,tetragonal,297,282,282,99,99,94,81,73,73
mp-1869,GaPd2,"['Ga', 'Pd']","[1, 2]",10.34733828,0.37,149,1319.67,57.66666667,1.58,0.1534775,0.286666667,orthorhombic,177,223,210,106,133,137,48,60,31
mp-18695,Fe15Co,"['Fe', 'Co']","[15, 1]",8.075535897,0.32,184,1808.3125,81.25,1.5575,0.139502144,0.4438125,cubic,250,250,250,151,151,151,103,103,103
mp-1882,CaCu5,"['Ca', 'Cu']","[1, 5]",6.536938774,0.32,91,1317.308333,366.6666667,1.531666667,0.14521165,0.429666667,hexagonal,127,127,169,61,71,71,41,41,33
mp-1885,AlIr,"['Al', 'Ir']","[1, 1]",13.24493796,0.28,229,1836.235,192.5,1.49,0.200569,0.5165,cubic,366,366,366,161,161,161,125,125,125
mp-1903,BaAl4,"['Ba', 'Al']","[1, 4]",3.425431948,0.22,51,946.776,191.6,1.45,0.15179812,0.7584,tetragonal,87,87,108,27,31,31,36,36,37
mp-1912,ZnAg,"['Zn', 'Ag']","[1, 1]",8.853682792,0.39,91,963.805,275,1.535,0.15118415,0.3125,cubic,97,97,97,88,88,88,55,55,55
mp-1914,YGa2,"['Y', 'Ga']","[1, 2]",5.954496935,0.2,73,801.6066667,25,1.613333333,0.1554844,0.342666667,hexagonal,174,174,100,55,33,33,54,54,60
mp-1918,FeRh,"['Fe', 'Rh']","[1, 1]",9.581025036,0.32,197,2024,115,1.645,0.14004555,0.3435,cubic,262,262,262,164,164,164,109,109,109
mp-193,Zr2Cu,"['Zr', 'Cu']","[2, 1]",6.968518148,0.31,109,1871.256667,148.6666667,1.856666667,0.133649667,0.315666667,tetragonal,178,178,146,65,88,88,64,64,33
mp-1935,BaMg2,"['Ba', 'Mg']","[1, 2]",3.030975161,0.25,22,948.6666667,112.6666667,1.81,0.133988867,0.747333333,hexagonal,40,40,46,14,10,10,12,12,13
mp-1953,TiAl,"['Ti', 'Al']","[1, 1]",3.833901613,0.25,115,1437.235,128.5,1.47,0.13672085,0.7115,tetragonal,200,200,174,62,84,84,112,112,41
mp-196,Al5Co2,"['Al', 'Co']","[5, 2]",4.338445784,0.23,125,1171.907143,196.4285714,1.277142857,0.148123229,0.773142857,hexagonal,226,226,258,84,63,63,92,92,71
mp-1973,NbGa3,"['Nb', 'Ga']","[1, 3]",7.75869277,0.21,122,914.6825,35.25,1.515,0.161302525,0.346,tetragonal,237,237,245,94,49,49,76,76,114
mp-1982,Al21Pt8,"['Al', 'Pt']","[21, 8]",7.709187174,0.3,133,1239.105862,190.0344828,1.342758621,0.179548897,0.688413793,tetragonal,195,228,228,88,88,98,60,64,64
mp-19870,GaFe3,"['Ga', 'Fe']","[1, 3]",8.032436581,0.36,174,1433.9775,67.25,1.51,0.147534225,0.42525,cubic,194,194,194,165,165,165,119,119,119
mp-19871,PbAu2,"['Pb', 'Au']","[1, 2]",14.82094229,0.29,76,1091.756667,225,1.673333333,0.233550333,0.139,cubic,125,125,125,51,51,51,37,37,37
mp-19974,In2Ag,"['In', 'Ag']","[2, 1]",7.942449545,0.5,42,698.1433333,198,1.59,0.158558833,0.235,tetragonal,168,41,41,95,95,65,9,-4,-4
mp-20034,CaPb,"['Ca', 'Pb']","[1, 1]",6.784425737,0.21,49,857.805,117.5,1.74,0.14666145,0.406,tetragonal,134,134,108,-28,32,32,29,29,21
mp-2012,LiHg,"['Li', 'Hg']","[1, 1]",9.209102945,0.28,31,344.005,46.65,1.69,0.1370465,1.8135,cubic,44,44,44,25,25,25,22,22,22
mp-20136,BaPb,"['Ba', 'Pb']","[1, 1]",6.68721999,0.27,25,800.305,26.5,2.035,0.1682948,0.1755,orthorhombic,47,40,40,16,17,15,11,25,9
mp-2018,AlFe3,"['Al', 'Fe']","[1, 3]",6.813013992,0.31,174,1591.6175,118.75,1.465,0.1419594,0.55725,cubic,210,210,210,155,155,155,141,141,141
mp-2025,HfBe5,"['Hf', 'Be']","[1, 5]",6.088097588,0.15,131,1717.666667,162.1666667,1.28,0.159152833,1.544333333,hexagonal,263,263,279,83,53,53,162,162,90
mp-20263,CaIn,"['Ca', 'In']","[1, 1]",4.457748569,0.35,85,772.375,141,1.75,0.13982095,0.4435,cubic,99,99,99,78,78,78,52,52,52
mp-2027,HfCo,"['Hf', 'Co']","[1, 1]",12.61270737,0.34,153,2137,61.5,1.8,0.18661165,0.301,cubic,230,230,230,114,114,114,55,55,55
mp-2031,Be2Cu,"['Be', 'Cu']","[2, 1]",5.046496677,0.15,137,1492.59,260,1.23,0.147047867,1.344333333,cubic,294,294,294,58,58,58,130,130,130
mp-20536,CoSn,"['Co', 'Sn']","[1, 1]",8.557223352,0.26,127,1136.54,83.5,1.485,0.16064415,0.339,hexagonal,224,224,257,95,61,61,70,70,64
mp-20549,CaPb3,"['Ca', 'Pb']","[1, 3]",8.989666136,0.44,60,729.2075,76.25,1.64,0.162286225,0.2825,cubic,22,22,22,79,79,79,9,9,9
mp-2078,TiCu,"['Ti', 'Cu']","[1, 1]",6.440936363,0.3,130,1649.385,211,1.605,0.13726765,0.454,tetragonal,178,178,186,103,107,107,85,85,89
mp-2090,FeCo,"['Fe', 'Co']","[1, 1]",8.290362741,0.29,189,1789.5,90,1.54,0.14124475,0.4495,cubic,259,259,259,154,154,154,131,131,131
mp-2103,CuAu3,"['Cu', 'Au']","[1, 3]",16.31927928,0.41,143,1342.44,340,1.6675,0.2338204,0.193,cubic,165,165,165,133,133,133,41,41,41
mp-21104,Hf5Sn3,"['Hf', 'Sn']","[5, 3]",11.68748396,0.32,113,1755.655,39.5,1.84375,0.210511375,0.1745,hexagonal,192,192,219,111,49,49,38,38,40
